Instance: Direction_Num_16_ID_15_R_2
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 680.3954275713277
Runtime: 2.118000030517578
Gap: 0
Path: 
50.0 50.0
73.2424 38.6803
62.997 26.6345
59.0111 21.9486
50.1772 11.5617
41.7239 1.6234
64.8461 19.1308
83.6684 6.4798
98.171 21.2302
88.4649 54.7278
111.9204 82.1627
113.1403 87.1365
89.4093 68.3075
83.8273 76.477
107.6392 104.5961
77.146 120.1452
51.9216 98.099
64.0292 79.6467
38.7886 57.8356
24.7961 63.7481
3.4831 39.9975
1.8036 25.6342
21.2811 44.5967
21.032 45.8734
43.0951 67.8233
55.824 73.5739
35.0899 52.8976
39.3465 48.799
18.3869 20.8378
21.6429 15.2934
41.0936 38.6715
41.7374 39.4457
50.468 49.9401
50.0 50.0
