Instance: Uniform_Num_12_ID_9_R_2
Steiner-visit: True
Benders Cut: Boundary
Formulation: DFJ
OFV: 430.52395774497927
Runtime: 0.5360000133514404
Gap: 0
Path: 
50.0 50.0
54.301 57.6372
37.5754 32.7077
39.5402 46.6436
31.4208 22.4967
23.862 29.4172
17.0526 13.0762
35.9032 10.9897
66.4987 15.5258
68.3593 24.3923
75.8841 13.8278
104.2765 29.1161
96.6152 51.2136
91.1975 66.8437
76.3067 69.3768
72.1402 70.0857
57.4782 84.8205
54.5109 78.4107
47.1484 77.3117
28.1173 74.4676
19.0332 73.1102
36.0475 78.087
19.4691 50.3732
33.6902 43.307
56.5894 51.6786
50.0 50.0
