Instance: Uniform_Num_16_ID_9_R_6
Steiner-visit: True
Benders Cut: Default
Formulation: DFJ
OFV: 514.8092630917987
Runtime: 1248.7809998989105
Gap: 0
Path: 
50.0 50.0
76.2769 47.2987
88.5042 29.034
115.9299 20.9353
87.0758 15.9157
85.207 15.5917
83.3594 4.8362
80.7223 -10.5014
80.0695 -14.85
50.4886 8.1003
41.2422 1.2331
33.0393 6.1874
11.2918 1.3005
4.7592 -0.1713
8.3127 8.6938
12.794 15.2481
28.7766 38.6462
39.497 58.8399
28.1214 60.7608
16.6768 58.4319
34.066 81.1023
24.7252 88.1101
30.0123 111.1319
48.4629 100.5426
64.8456 105.0804
71.7496 99.4106
82.2437 95.4226
83.4434 96.9828
88.68 86.0268
88.4378 85.5133
63.5719 81.2951
61.6506 77.6777
51.8047 54.2924
50.0 50.0
