Instance: Uniform_Num_16_ID_2_R_4
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 604.4059189576728
Runtime: 5.878000020980835
Gap: 0
Path: 
50.0 50.0
54.2408 42.9002
75.8553 55.313
87.5375 7.6381
97.3184 10.3198
115.1681 15.213
115.1718 15.214
100.9202 45.8939
89.749 57.7064
92.2994 67.1333
75.9957 79.2979
75.6491 84.6517
74.0085 109.9807
64.075 95.3496
42.3488 99.327
13.7519 104.5624
4.3892 97.0363
12.6758 88.0853
23.0522 76.8757
16.0014 61.2254
42.2625 72.7643
37.332 70.3452
21.3439 36.956
18.0722 30.1212
40.0772 3.0612
53.6707 14.3748
32.9327 18.6139
29.5505 19.305
3.9971 44.7401
-2.0978 50.808
25.823 54.1749
30.2092 54.7043
46.4176 56.6596
50.0 50.0
