Instance: Uniform_Num_20_ID_1_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: MTZ
OFV: 749.9553523730567
Runtime: 266.952999830246
Gap: 0
Path: 
50.0 50.0
54.3263 46.6127
90.077 47.9704
76.8789 40.4343
97.4506 26.8218
102.567 32.6974
87.289 7.7601
61.1246 9.1401
52.144 30.0969
46.0151 20.5626
26.7267 28.8539
15.5017 17.8738
4.9865 7.5873
2.551 45.871
30.8903 59.1457
17.4926 56.9129
27.2693 83.1893
27.2693 83.1894
28.3918 87.684
26.5621 98.9649
23.3589 103.4116
26.9073 95.2349
36.1525 128.9041
42.5743 122.3573
32.2749 90.0928
19.363 86.5433
34.0868 79.6981
33.9763 77.5279
57.5938 97.1203
68.8619 88.3974
55.5459 85.016
47.2821 82.918
80.4706 97.3981
81.1138 95.6839
98.883 69.8151
87.0809 96.3243
107.2679 97.6006
107.4848 94.7718
76.9284 75.6746
77.2266 72.1455
60.5399 68.6751
50.0 50.0
